Node,Score
HBIN034423,0.06043340868037695
HBIN030534,0.009464315112816587
HBIN019691,0.007757497651150479
HBIN046831,0.0068559054795821655
HBIN042172,0.003999507085543338
HBIN014685,0.0038318962471720233
HBIN020984,0.0024602409708498626
HBIN014693,0.002234997374802906
HBIN019336,0.0020343968860578447
HBIN027747,0.0018687327464527615
HBIN038555,0.0013754129108996826
HBIN046825,0.001056125885739966
HBIN000959,0.0009059018628843886
HBIN034357,0.0008069197389955792
HBIN045073,0.0006792804773251807
HBIN042111,0.0004874574560352539
HBIN014399,0.00041983344546678823
C1orf174,0.0003359109194807477
HBIN021985,0.0003159991441862892
MRPL51,0.00027249560125049306
PRSS1,0.00026007288700739914
C16orf72,0.00025445013552479075
HBIN021188,0.00023977846432635876
EPM2AIP1,0.00023485655002719277
HBIN003948,0.00023103048788887537
ATCAY,0.00022748727384547861
CAV3,0.00022710949560735257
CHRM3,0.00022239792634049665
GRM6,0.00021929604655239416
RC3H2,0.00021762513630871775
DEPDC1B,0.00021658611320328968
HBIN027764,0.0002102097964798719
GCK,0.00020930178151709166
HBIN033339,0.00020883100884261764
HBIN040811,0.00020606990932853895
CADPS,0.0002032854746701973
CROCC,0.00020277240796194037
OR10H2,0.00020238569767955583
CHRM1,0.0001922897625783994
HBIN016571,0.00019110799700530013
HBIN030896,0.00018698783006566318
ADRA1D,0.00018696643042527943
SLC6A2,0.0001864413201170101
ADRB2,0.00018267018650383886
BABAM1,0.00017506198701924822
HBIN041903,0.00017211511029939446
EGFL6,0.00017034042296120306
CCDC181,0.00016634242883892966
DHODH,0.0001644970144630088
ADRA1A,0.00016141526013717687
ADRA1B,0.00016130162139892744
ADRA2C,0.00015976785671055225
ARHGEF3,0.00015570232902286144
FDX1,0.00015455484215261313
SLC6A3,0.00015220796795332146
CCT2,0.0001505101092003168
CLPS,0.00014893633272879722
NBEAL1,0.00014885468402209894
HBIN008361,0.00014846453061321074
C11orf54,0.00014495820303776
RCCD1,0.00014305105492291945
HBIN028076,0.00014271089459390847
ABI3,0.00014209726370925614
CLCN2,0.00013978883521901194
HBIN028550,0.0001395659406606284
ACHE,0.00013883869354923311
AMY2A,0.0001366273463773948
C19orf25,0.00013430403798219377
ANKRD28,0.0001314280488306618
HBIN039199,0.00013128930893130158
ATF6,0.0001308192670386008
COLQ,0.0001299200125217438
CLEC4E,0.00012971432152193428
CCDC112,0.00012893647924723764
DAZ1,0.00012883723777315698
HBIN020406,0.0001286022551979994
CCDC115,0.00012851694371854828
CYB5D2,0.0001280119258311837
COL4A1,0.00012701718341844818
DPP4,0.00012666479433563816
DUSP18,0.00012545993010860035
KIAA0408,0.000122159298831637
ETV3L,0.00012077702784174479
AHCTF1,0.00012000036088585739
C11orf53,0.00011916553944442689
NCOA2,0.00011808832371264845
CBX7,0.0001174437751236327
AKR7A3,0.00011691440484801884
CITED4,0.00011672324081938182
GMPPA,0.00011574669181399471
HBIN037187,0.00011540866453854903
AIG1,0.00011507824551801446
ADA,0.00011497909278074265
HBIN042307,0.00011473591573565482
CHURC1-FNTB,0.00011473169645193746
HSPA7,0.00011331685961208881
NKG7,0.00011307023284686069
HBIN036162,0.00011282724511403001
CHRM2,0.00011271483861506353
KALRN,0.0001121498550821252
HBIN023366,0.00011106248622324364
KRT26,0.00011102266036759034
PIGX,0.00011018966795629666
HBIN002095,0.00010998071279853846
ECD,0.00010882299695937814
GPR27,0.00010879251284220537
SLC2A4,0.00010872334736749833
C1GALT1,0.00010859219344808496
IL27RA,0.00010856809594198943
CES1,0.00010818573896848518
HBIN026662,0.0001079896366340949
IL1F10,0.00010765312555181976
C17orf67,0.00010759866602422324
ABHD17A,0.0001075916432927427
HBIN024973,0.00010692389805768344
GSG1L,0.00010602546728811549
CPNE6,0.00010485256614478245
IDO2,0.00010232095051046669
APBB3,0.00010185226731920575
HBIN035379,0.00010174985598191636
TMEM259,0.00010152502946702738
THAP10,0.00010124204470463452
LRRC7,0.00010114729981322195
AMMECR1L,0.0001011329836448631
C1orf74,0.0001010058133241493
AMELY,0.00010048474203008168
ARF4,9.950100209039795e-05
HBIN038026,9.93203662530693e-05
AR,9.917108646426666e-05
ALX1,9.911571569439832e-05
ABCD1,9.833940701903097e-05
IL3,9.782817285151233e-05
CALCR,9.67333184190258e-05
CIRBP,9.632549416357273e-05
AMBRA1,9.565848935724683e-05
CEP41,9.490431867368659e-05
FUT11,9.343401760294143e-05
FNBP1L,9.317561540480147e-05
SPACA9,9.305634920126062e-05
CIAO2A,9.248929976671146e-05
ARSH,9.216572108884572e-05
CDC73,9.208797444037433e-05
COX6C,9.094196597122665e-05
HBIN017056,9.057696938156789e-05
DTNBP1,8.927493040065698e-05
GABRA1,8.895940956364506e-05
BCLAF3,8.869560652437585e-05
ARL5A,8.851985903881497e-05
HBIN034596,8.834606981777049e-05
EMX1,8.789796309416807e-05
HLA-DRB5,8.677446468359218e-05
PICK1,8.674130829233509e-05
APC,8.621153585725751e-05
EME2,8.599712530521359e-05
HOXA4,8.577056625095898e-05
DHRS9,8.557224497436242e-05
CLCN4,8.55234961161428e-05
ARRDC1,8.516476203315207e-05
ARID3B,8.505905156621184e-05
CBWD3,8.500638659668519e-05
KRT4,8.471312597147075e-05
CFAP100,8.442058081554051e-05
ALX3,8.432446571109885e-05
FRG1,8.424635812268909e-05
HBIN015424,8.392962786204518e-05
FANCF,8.377317650248217e-05
IMPG1,8.310226631107353e-05
CCDC174,8.280214464988597e-05
ANGPT4,8.241349709799589e-05
HBIN024936,8.227851784684666e-05
MARK2,8.174996492555067e-05
C8G,8.123473432945989e-05
ARPC1B,8.110668097554126e-05
NATD1,8.110516781247792e-05
CHD2,8.110146694337297e-05
ACSL4,8.042842714376644e-05
CGB5,8.008162910224105e-05
MAP3K4,7.933859331504649e-05
FOXN3,7.924175978728267e-05
C9orf50,7.87661829828612e-05
CNTN4,7.86376948935662e-05
CENPH,7.86221253260655e-05
HBIN039001,7.835519589870129e-05
HBIN020511,7.82553939633305e-05
ANKHD1,7.822390490146679e-05
BZW2,7.818273377896202e-05
KCTD14,7.813508101996585e-05
CSPP1,7.757149564489177e-05
NR3C1,7.748402570906868e-05
CLSTN3,7.72564393300159e-05
C11orf45,7.719192662612911e-05
HBD,7.718245583754267e-05
ATF5,7.7103785104944e-05
BAZ1A,7.679666809984257e-05
MAGEA2,7.663373125786672e-05
ACSS3,7.645739330513074e-05
DAZAP1,7.621635252867441e-05
ODAD4,7.582394795768581e-05
GRP,7.509525728408542e-05
CIB1,7.498587913135833e-05
PCDHGC4,7.470726439551658e-05
AMIGO3,7.407473978183229e-05
FAM156A,7.393277336824393e-05
CPLX2,7.376288734392165e-05
SSMEM1,7.34547349604113e-05
IL6,7.342440143564472e-05
PACRGL,7.301381702237044e-05
AQP2,7.296024797723764e-05
PRKDC,7.29585761539303e-05
AMOT,7.188748976745341e-05
EYA3,7.160999872626813e-05
CKAP2,7.15890636451238e-05
COX5B,7.097475276146811e-05
CEP120,7.075722185928367e-05
HBIN040797,7.047204707824915e-05
HBIN025920,7.005999320095631e-05
HBIN046103,7.005526169047938e-05
IPO13,6.958794153390441e-05
PKD1L3,6.900635101002893e-05
HSPA4L,6.89856815949152e-05
SYTL4,6.89374830839141e-05
TEDC2,6.870144877192543e-05
TCEANC,6.86866998635121e-05
C12orf40,6.860903403727875e-05
C2orf73,6.848501134775218e-05
ILVBL,6.841007284740921e-05
BZW1,6.832096270186543e-05
SETD9,6.829684998073758e-05
MICU1,6.799595041783921e-05
PRUNE2,6.792690258729889e-05
CRY1,6.786910432114959e-05
TMEM126B,6.784437919545345e-05
KCNE4,6.772753668287164e-05
USP26,6.765658766267875e-05
MAPKBP1,6.764349340240046e-05
SPATC1L,6.750995267059002e-05
PEX7,6.7489201845482e-05
ND3,6.745628560130675e-05
CUL9,6.739352211120068e-05
FBXW12,6.733088800543808e-05
ABHD3,6.728439152353109e-05
CENPK,6.689288010259518e-05
DNAJC4,6.686953710153688e-05
IL4I1,6.672992451165185e-05
ETFDH,6.605060368479503e-05
CPSF4L,6.601850978895965e-05
GRIA2,6.589347946057735e-05
ARPC4,6.563096582108452e-05
ECE1,6.56290751285464e-05
COL13A1,6.550937120355631e-05
CLDN6,6.545980869362042e-05
FOXN4,6.497155874286695e-05
LIN7C,6.370587583114365e-05
FBXW11,6.335351329608638e-05
PTGS2,6.317969307183695e-05
LYRM2,6.2816695566215e-05
ELAC2,6.26851148219057e-05
GRIN3A,6.24201796509088e-05
GGN,6.219386326461003e-05
CWF19L1,6.215010732897927e-05
CLIC6,6.21488934926248e-05
EXOSC4,6.205231037995434e-05
IFT122,6.203708037981125e-05
PIN1,6.203575331642256e-05
C12orf75,6.200758671294818e-05
DSTN,6.188878519637029e-05
CCDC124,6.169005979045011e-05
AP4B1,6.143028757504953e-05
CERS5,6.130724636746144e-05
FAM98C,6.115513490386533e-05
TPX2,6.10168393454924e-05
GRSF1,6.0448784992209217e-05
BMP8B,6.0307902458860446e-05
