Node,Score
HBIN034423,0.060433409
HBIN030534,0.009464315
HBIN019691,0.007757498
HBIN046831,0.006855905
HBIN042172,0.003999507
HBIN014685,0.003831896
HBIN020984,0.002460241
HBIN014693,0.002234997
HBIN019336,0.002034397
HBIN027747,0.001868733
HBIN038555,0.001375413
HBIN046825,0.001056126
HBIN000959,0.000905902
HBIN034357,0.00080692
HBIN045073,0.00067928
HBIN042111,0.000487457
HBIN014399,0.000419833
HBIN021985,0.000315999
HBIN021188,0.000239778
HBIN003948,0.00023103
HBIN027764,0.00021021
HBIN033339,0.000208831
HBIN040811,0.00020607
HBIN016571,0.000191108
HBIN030896,0.000186988
HBIN041903,0.000172115
HBIN008361,0.000148465
HBIN028076,0.000142711
HBIN028550,0.000139566
HBIN039199,0.000131289
HBIN020406,0.000128602
HBIN037187,0.000115409
HBIN042307,0.000114736
HBIN036162,0.000112827
HBIN023366,0.000111062
HBIN002095,0.000109981
HBIN026662,0.00010799
HBIN024973,0.000106924
HBIN035379,0.00010175
HBIN038026,9.93203662530693e-05
HBIN017056,9.057696938156789e-05
HBIN034596,8.834606981777049e-05
HBIN015424,8.392962786204518e-05
HBIN024936,8.227851784684666e-05
HBIN039001,7.835519589870129e-05
HBIN020511,7.82553939633305e-05
HBIN040797,7.047204707824915e-05
HBIN025920,7.005999320095631e-05
HBIN046103,7.005526169047938e-05
HBIN035442,5.632217845663023e-05
HBIN019502,5.3362034643187714e-05
HBIN038749,5.333712060648065e-05
HBIN023972,5.326691558596363e-05
HBIN019146,5.188195963095939e-05
HBIN016087,5.171954265279384e-05
HBIN018951,4.849012928529709e-05
HBIN046387,4.776755530553238e-05
HBIN034569,4.6039740260781036e-05
HBIN027746,4.563745698890331e-05
HBIN041332,4.481496181884937e-05
HBIN019786,4.4368819098992124e-05
HBIN039003,4.391869752711471e-05
HBIN029149,4.3596996795080966e-05
HBIN025288,4.3091393507611124e-05
HBIN045062,4.2757547715997154e-05
HBIN028546,4.170057042827464e-05
HBIN028048,3.658513088643169e-05
HBIN025287,3.593980108334765e-05
HBIN019918,3.078351699475844e-05
HBIN031753,2.7382101410438335e-05
HBIN019298,2.3312425439675727e-05
HBIN003457,2.0565067522650957e-05
HBIN033583,2.0531387104331683e-05
HBIN016080,1.9282877406937947e-05
HBIN015023,1.8864955178004984e-05
HBIN022815,1.8717727205105212e-05
HBIN010468,1.8383372731563187e-05
HBIN018781,1.8253556601732918e-05
HBIN026829,1.818340299116144e-05
HBIN037485,1.8179193077921913e-05
HBIN020260,1.8096225215671437e-05
HBIN030728,1.7946424164074355e-05
HBIN010378,1.7595334615407418e-05
HBIN020509,1.7346371035461157e-05
HBIN018278,1.71472893046149e-05
HBIN035309,1.6941505160329314e-05
HBIN025553,1.6749547889489062e-05
HBIN023204,1.6571496476904812e-05
HBIN001307,1.656466356506056e-05
HBIN003405,1.649783886379527e-05
HBIN035120,1.629843669788687e-05
HBIN034967,1.5943377977120146e-05
HBIN035214,1.590868528541207e-05
HBIN035378,1.5767169738508134e-05
HBIN018223,1.5711006587882626e-05
HBIN033428,1.5662295543764263e-05
HBIN026468,1.5282948043007204e-05
HBIN032583,1.5270753126046808e-05
HBIN010673,1.5095345630735555e-05
HBIN033265,1.5067353904235976e-05
HBIN019921,1.4831216172981407e-05
HBIN028902,1.4828367774966596e-05
HBIN008401,1.48273876717083e-05
HBIN029444,1.4795135962316871e-05
HBIN023732,1.4738247412898737e-05
HBIN027809,1.4725103971493208e-05
HBIN035198,1.4543588756185714e-05
HBIN019919,1.4494289302110963e-05
HBIN018535,1.4305304973671702e-05
HBIN032754,1.423994164521463e-05
HBIN008360,1.4187286102181065e-05
HBIN025465,1.417879798314781e-05
HBIN027568,1.4037734934304284e-05
HBIN015704,1.403703673534995e-05
HBIN031662,1.3943777947068545e-05
HBIN003305,1.3917192341567863e-05
HBIN021167,1.388519418994206e-05
HBIN029313,1.3820875185736922e-05
HBIN021904,1.3807006987017801e-05
HBIN033330,1.3775741126915673e-05
HBIN020955,1.3737975926482359e-05
HBIN022782,1.3723393016165743e-05
HBIN032573,1.3696387185580319e-05
HBIN027798,1.3679356568203184e-05
HBIN024875,1.3625927198352194e-05
HBIN026279,1.3595576267922854e-05
HBIN035353,1.3486128177884635e-05
HBIN023368,1.3457198733712892e-05
HBIN032807,1.3410598261027876e-05
HBIN026881,1.3341992795197323e-05
HBIN031378,1.321010039799078e-05
HBIN027799,1.3209231634548827e-05
HBIN033890,1.3165968337760354e-05
HBIN033245,1.3155909883794631e-05
HBIN042852,1.3077528474429005e-05
HBIN034783,1.3026991012733891e-05
HBIN005631,1.3018811833600893e-05
HBIN014748,1.3014153408659388e-05
HBIN014990,1.2922665308599256e-05
HBIN034507,1.283044930269291e-05
HBIN034504,1.2694498972529655e-05
HBIN033383,1.2679763110283755e-05
HBIN031330,1.2675248205668883e-05
HBIN033198,1.26260970945869e-05
HBIN032850,1.2618892306346264e-05
HBIN030634,1.250628847683332e-05
HBIN032812,1.2393134122702944e-05
HBIN033218,1.2346149966767372e-05
HBIN034358,1.2270103404974519e-05
HBIN017286,1.2245373733454478e-05
HBIN030819,1.2192076372916737e-05
HBIN034083,1.2162490000752548e-05
HBIN035298,1.2152502773563557e-05
HBIN031539,1.2143353441382475e-05
HBIN035224,1.2137148539464707e-05
HBIN037160,1.2089309452363542e-05
HBIN032903,1.20583781545131e-05
HBIN033036,1.1929442817616873e-05
HBIN031540,1.1911192690224962e-05
HBIN035354,1.1880794968738178e-05
HBIN035296,1.1870015913117502e-05
HBIN035297,1.185282195322596e-05
HBIN034389,1.1819195584042387e-05
HBIN035356,1.1808552683761088e-05
HBIN031538,1.1804994165850338e-05
HBIN031536,1.179923009692098e-05
HBIN031535,1.179923009692098e-05
HBIN035417,1.1785674954305027e-05
HBIN033037,1.1760745209310285e-05
HBIN032576,1.1749389452955495e-05
HBIN034281,1.1737541342434336e-05
HBIN030800,1.16979980580946e-05
HBIN030898,1.1663146115798077e-05
HBIN032456,1.1654989164436789e-05
HBIN034752,1.1643889485457966e-05
HBIN032953,1.1608017870832535e-05
HBIN031367,1.1594089412473905e-05
HBIN035376,1.1594089412473905e-05
HBIN030708,1.154142556433569e-05
HBIN031326,1.1526758729041567e-05
HBIN030734,1.1525208076760776e-05
HBIN033432,1.1517716995277754e-05
HBIN034524,1.1517716995277754e-05
HBIN033777,1.151505355562059e-05
HBIN035329,1.1496790825330632e-05
HBIN033170,1.1460894996345214e-05
HBIN031541,1.1429420451182176e-05
HBIN031102,1.1401447435669983e-05
HBIN034311,1.1375801345436165e-05
HBIN002579,1.116546245231014e-05
HBIN044158,9.471296162562473e-06
HBIN015226,9.045050000308966e-06
HBIN015117,8.981952495640084e-06
HBIN027030,8.962258229889642e-06
HBIN038627,8.95673194355984e-06
HBIN045672,8.93947676779716e-06
HBIN042670,8.521837275446127e-06
HBIN047718,8.14131281014955e-06
HBIN046495,7.919386514416112e-06
HBIN028191,7.771992573930188e-06
HBIN013837,7.4495821003526025e-06
HBIN017978,7.3174936183730335e-06
HBIN044918,7.1787970981297045e-06
HBIN025069,7.131897250139173e-06
HBIN024519,7.049381727870248e-06
HBIN020162,7.0374481453946e-06
HBIN014727,6.972053031015587e-06
HBIN047005,6.9436239001432305e-06
HBIN026440,6.48348801093686e-06
HBIN045966,6.425309646282644e-06
HBIN025012,6.413649812373623e-06
HBIN024535,6.259463579356245e-06
HBIN042760,6.211601742407239e-06
HBIN039458,6.180824594819085e-06
HBIN039396,6.18015721804474e-06
HBIN007666,6.1474344352287365e-06
HBIN024976,6.017389967129824e-06
HBIN026062,5.904264608611919e-06
HBIN005325,5.86713282168513e-06
HBIN042501,5.8597349764429066e-06
HBIN015368,5.797876251237978e-06
HBIN021921,5.796702958270348e-06
HBIN023837,5.752543367448786e-06
HBIN027158,5.552776380336487e-06
