Herb_id,Ingredient_id
HERB005118,HBIN004423
HERB005118,HBIN006643
HERB005118,HBIN006647
HERB005118,HBIN006648
HERB005118,HBIN007989
HERB005118,HBIN009493
HERB005118,HBIN011708
HERB005118,HBIN012705
HERB005118,HBIN012711
HERB005118,HBIN012725
HERB005118,HBIN013721
HERB005118,HBIN014464
HERB005118,HBIN014630
HERB005118,HBIN014748
HERB005118,HBIN014990
HERB005118,HBIN014997
HERB005118,HBIN014998
HERB005118,HBIN016568
HERB005118,HBIN017343
HERB005118,HBIN018278
HERB005118,HBIN019296
HERB005118,HBIN019909
HERB005118,HBIN019914
HERB005118,HBIN019915
HERB005118,HBIN020140
HERB005118,HBIN020942
HERB005118,HBIN020950
HERB005118,HBIN021254
HERB005118,HBIN021256
HERB005118,HBIN021258
HERB005118,HBIN022755
HERB005118,HBIN023821
HERB005118,HBIN023837
HERB005118,HBIN024357
HERB005118,HBIN024794
HERB005118,HBIN024930
HERB005118,HBIN026440
HERB005118,HBIN026690
HERB005118,HBIN027450
HERB005118,HBIN027451
HERB005118,HBIN028070
HERB005118,HBIN029444
HERB005118,HBIN031534
HERB005118,HBIN031535
HERB005118,HBIN031536
HERB005118,HBIN031537
HERB005118,HBIN031538
HERB005118,HBIN031539
HERB005118,HBIN031540
HERB005118,HBIN031541
HERB005118,HBIN031543
HERB005118,HBIN031544
HERB005118,HBIN031547
HERB005118,HBIN032754
HERB005118,HBIN032903
HERB005118,HBIN034725
HERB005118,HBIN034726
HERB005118,HBIN034904
HERB005118,HBIN034932
HERB005118,HBIN034955
HERB005118,HBIN035065
HERB005118,HBIN035356
HERB005118,HBIN035817
HERB005118,HBIN037220
HERB005118,HBIN038992
HERB005118,HBIN039150
HERB005118,HBIN041323
HERB005118,HBIN041400
HERB005118,HBIN041903
HERB005118,HBIN042012
HERB005118,HBIN042013
HERB005118,HBIN042015
HERB005118,HBIN042020
HERB005118,HBIN042023
HERB005118,HBIN042024
HERB005118,HBIN042025
HERB005118,HBIN042026
HERB005118,HBIN042029
HERB005118,HBIN043557
HERB005118,HBIN044152
HERB005118,HBIN044158
HERB005118,HBIN044691
HERB005118,HBIN044918
HERB005118,HBIN045062
HERB005118,HBIN045073
HERB005118,HBIN045146
HERB005118,HBIN045487
