Ingredient_id,Target_name
HBIN006643,ACHE
HBIN006643,CA2
HBIN006643,GRIA2
HBIN006643,PRSS1
HBIN006643,PTGS2
HBIN006643,GABRA1
HBIN006643,NOS2
HBIN006643,DPP4
HBIN006647,ESR1
HBIN006647,AR
HBIN006648,AR
HBIN006648,ESR1
HBIN007989,CA2
HBIN007989,GRIA2
HBIN007989,PTGS2
HBIN007989,ACHE
HBIN007989,DPP4
HBIN012725,CA2
HBIN013721,CA2
HBIN013721,PTGS2
HBIN013721,DPEP1
HBIN013721,DPP4
HBIN013721,AR
HBIN013721,ESR1
HBIN014630,ICAM1
HBIN014748,PTGS2
HBIN014748,NOS2
HBIN014748,ACHE
HBIN014990,DPP4
HBIN014997,DPP4
HBIN014998,CA2
HBIN014998,AR
HBIN014998,ESR1
HBIN014998,GRIA2
HBIN014998,DPP4
HBIN014998,GABRA1
HBIN014998,PRSS1
HBIN016568,IGHG1
HBIN016568,PTGS1
HBIN016568,PTGS2
HBIN016568,DPEP1
HBIN016568,AR
HBIN016568,PPARG
HBIN016568,ESR1
HBIN016568,CA2
HBIN016568,NCOA2
HBIN016568,ESR2
HBIN016568,ACHE
HBIN016568,PIM1
HBIN016568,DPP4
HBIN016568,GSK3B
HBIN016568,MAPK14
HBIN016568,CCNA2
HBIN016568,NOS2
HBIN016568,F7
HBIN016568,CDK2
HBIN017343,BAX
HBIN017343,BCL2
HBIN017343,IL6
HBIN017343,NFKBIA
HBIN017343,RELA
HBIN017343,TNF
HBIN017343,DPP4
HBIN017343,CA2
HBIN017343,DPEP1
HBIN017343,NOS2
HBIN017343,PTGS2
HBIN018278,BAX
HBIN018278,BCL2
HBIN018278,CASP3
HBIN018278,CASP8
HBIN018278,CASP9
HBIN018278,JUN
HBIN018278,MAP2
HBIN018278,PON1
HBIN018278,PRKCA
HBIN018278,TGFB1
HBIN018278,ACHE
HBIN018278,CHRM4
HBIN018278,DRD1
HBIN018278,NR3C1
HBIN018278,CHRM1
HBIN018278,NCOA2
HBIN018278,DPP4
HBIN018278,CHRNA2
HBIN018278,CHRNA7
HBIN018278,GSK3B
HBIN018278,CCNA2
HBIN018278,SCN5A
HBIN018278,CHRM3
HBIN018278,PDE3A
HBIN018278,PGR
HBIN018278,CDK2
HBIN018278,CA2
HBIN018278,ESR1
HBIN018278,PPARG
HBIN018278,PRSS1
HBIN018278,ADRB2
HBIN018278,AR
HBIN018278,NOS2
HBIN018278,PTGS1
HBIN018278,PIM1
HBIN018278,DPEP1
HBIN018278,CHEK1
HBIN018278,GABRA1
HBIN018278,SLC6A4
HBIN018278,PTGS2
HBIN018278,NR3C2
HBIN018278,OPRM1
HBIN018278,MAPK14
HBIN018278,ADRA1B
HBIN018278,KCNH2
HBIN018278,CHRM2
HBIN018278,ADRA1D
HBIN018278,ESR2
HBIN019296,ADRA2A
HBIN019296,ADRB1
HBIN019296,ADRB2
HBIN019296,MAOA
HBIN019296,MAOB
HBIN019296,PTGS1
HBIN019296,PTGS2
HBIN019296,CA2
HBIN019296,DPEP1
HBIN019296,CDK2
HBIN019296,PRSS1
HBIN019296,ADRA2C
HBIN019296,DPP4
HBIN019296,NOS2
HBIN019296,ACHE
HBIN019296,CTRB1
HBIN019909,BCL2
HBIN019909,CASP3
HBIN019909,NOS2
HBIN019909,SOD1
HBIN019909,DPP4
HBIN019914,DPP4
HBIN019915,CA2
HBIN019915,DPP4
HBIN022755,PTGS1
HBIN022755,NOS2
HBIN022755,ACHE
HBIN022755,PRSS1
HBIN022755,NCOA2
HBIN023837,DPP4
HBIN024357,AR
