Syndrome_id,SYMBOL
27,ACTA1
27,ACTB
27,ACTC1
27,ACTG1
27,ADA2
27,ADAR
27,ADAT3
27,AGTR2
27,ANK1
27,ANK2
27,ANK3
27,ANKRD1
27,ANKRD26
27,ANKRD55
27,ANKS6
27,ASB10
27,BCKDHA
27,BMP1
27,C3
27,C5
27,CARD14
27,CASR
27,CCR1
27,CDKN2B
27,CDKN2C
27,CDKN2D
27,CXCR4
27,DDR2
27,DIABLO
27,DLG3
27,DRD2
27,DRD3
27,DYSF
27,EHMT1
27,ESPN
27,FPR1
27,GHRHR
27,GRK1
27,GRM4
27,HACE1
27,HINT1
27,HLA-A
27,HLCS
27,HSD17B10
27,HTR1A
27,HTR1B
27,INVS
27,KANK1
27,MIB1
27,MMP8
27,MTNR1B
27,NFKB2
27,NOTCH1
27,NOTCH2
27,NOTCH3
27,NPY
27,NT5C2
27,NT5C3A
27,OPRK1
27,OTOF
27,OXT
27,P2RY11
27,PDYN
27,PEX13
27,PLA2G6
27,PLCG2
27,PSMB8
27,PTGER2
27,PTH1R
27,PTS
27,RFXANK
27,RIPK4
27,RNASEL
27,S1PR2
27,SAA1
27,SLC5A7
27,SNCAIP
27,TLL1
27,TRMT5
27,BARD1
27,BCL3
27,CCR3
27,CCR4
27,GABPB1
27,FGF7
27,CCL20
27,CXCL5
27,CX3CL1
27,PENK
27,SLC28A2
27,AHCYL1
27,ADM2
27,GPR109A
27,CXCL9
27,ABTB1
27,ACKR3
27,ACTBL2
27,ACTL10
27,ACTL6A
27,ACTL6B
27,ACTL7A
27,ACTL7B
27,ACTL8
27,ACTL9
27,ACTR10
27,ACTR1A
27,ACTR1B
27,ACTR2
27,ACTR3
27,ACTR3B
27,ACTR3C
27,ACTR8
27,ACTRT1
27,ACTRT2
27,ACTRT3
27,ADARB1
27,ADARB2
27,ADCYAP1R1
27,ADH1A
27,AHCYL2
27,AK3
27,AK7
27,AK8
27,AK9
27,ALKBH4
27,AMBP
27,ANKDD1B
27,ANKEF1
27,ANKFY1
27,ANKHD1
27,ANKK1
27,ANKRA2
27,ANKRD10
27,ANKRD16
27,ANKRD17
27,ANKRD18A
27,ANKRD18B
27,ANKRD2
27,ANKRD20A2P
27,ANKRD20A4P
27,ANKRD22
27,ANKRD23
27,ANKRD24
27,ANKRD27
27,ANKRD28
27,ANKRD29
27,ANKRD30A
27,ANKRD30B
27,ANKRD30BL
27,ANKRD35
27,ANKRD36
27,ANKRD36C
27,ANKRD37
27,ANKRD39
27,ANKRD42
27,ANKRD44
27,ANKRD46
27,ANKRD49
27,ANKRD50
27,ANKRD52
27,ANKRD53
27,ANKRD54
27,ANKRD6
27,ANKRD60
27,ANKRD61
27,ANKRD63
27,ANKRD65
27,ANKRD66
27,ANKRD7
27,ANKRD9
27,ANKS1A
27,ANKS1B
27,ANKS3
27,ANKS4B
27,ANXA1
27,APLNR
27,ASB1
27,ASB11
27,ASB12
27,ASB13
27,ASB14
27,ASB15
27,ASB16
27,ASB18
27,ASB2
27,ASB4
27,ASB5
27,ASB6
27,ASB7
27,ASB8
27,ASB9
27,ASPG
27,ASZ1
27,ATP8A1
27,BDKRB1
27,C3AR1
27,CASKIN1
27,CASKIN2
27,CCNT1
27,CCR9
27,CDK9
27,CNR1
27,CNR2
27,CTSS
27,CTTNBP2
27,CUL1
27,CXCL16
27,CXCL3
27,CXCR1
27,CXCR2
27,CXCR3
27,CXCR6
27,DCK
27,DCUN1D1
27,DIMT1
27,DLG2
27,DRD4
27,EHMT2
27,ENAH
27,ESPNL
27,FANK1
27,FEM1A
27,FEM1B
27,FEM1C
27,FES
27,FHIT
27,FOXQ1
27,FPGT-TNNI3K
27,FPR2
27,GABPB2
27,GALR1
27,GALR2
27,GALR3
27,GCAT
27,GGTLC1
27,GHRH
27,GHRL
27,GNB2
27,GNB3
27,GNG11
27,GNG12
27,GNG13
27,GNG2
27,GNG3
27,GNG5
27,GNG7
27,GNG8
27,GNGT2
27,GPER1
27,GPR17
27,GPR18
27,GPR55
27,GRK4
27,GRK5
27,GRK7
27,GUK1
27,HCAR2
27,HCAR3
27,HINT2
27,HLA-C
27,HLA-G
27,HNRNPD
27,HRH3
27,HRH4
27,HTR1E
27,HTR1F
27,HTR5A
27,ILK
27,JCHAIN
27,KANK3
27,KANK4
27,KIDINS220
27,KNG1
27,LGMN
27,LPAR1
27,LPAR2
27,LPAR3
27,LPAR5
27,MAGI3
27,MARCO
27,MAT2B
27,MCHR1
27,MCHR2
27,MPHOSPH8
27,MPP1
27,MPP2
27,MPP3
27,MPP4
27,MPP5
27,MPP7
27,MRPL17
27,MRPL19
27,MRPL20
27,MRPL27
27,MRPL32
27,MRPL36
27,MRPL38
27,MTAP
27,MTRNR2L12
27,NAA11
27,NAA20
27,NAA30
27,NCK2
27,NFKBIB
27,NFKBID
27,NFKBIE
27,NFKBIZ
27,NKPD1
27,NMS
27,NMU
27,NMUR1
27,NMUR2
27,NOTCH4
27,NPBWR1
27,NPBWR2
27,NPY1R
27,NPY2R
27,NPY4R2
27,NPY5R
27,NRARP
27,NT5C
27,NT5C1A
27,NT5C1B
27,NT5C3B
27,OPRL1
27,PADI4
27,PARD6A
27,PARD6B
27,PARD6G
27,PARVB
27,PAXBP1
27,PCMT1
27,PCMTD1
27,PCMTD2
27,PDCL
27,PEBP4
27,PFN2
27,PFN4
27,PGGT1B
27,PGK2
27,PI4K2A
27,PIDD1
27,PMCH
27,PNRC2
27,POTEB
27,POTEB2
27,POTEC
27,POTED
27,POTEE
27,POTEH
27,POTEI
27,POTEJ
27,PPP1R12A
27,PPP1R12C
27,PPP1R16A
27,PPP1R16B
27,PPP1R27
27,PSMD10
27,PTH2
27,PTH2R
27,RABGGTA
27,RABGGTB
27,RAI14
27,RXFP3
27,RXFP4
27,S1PR3
27,SCPEP1
27,SCT
27,SCTR
27,SDCBP2
27,SEC61A2
27,SETD4
27,SFT2D3
27,SHANK1
27,SHANK2
27,SKIDA1
27,SLC28A1
27,SLC28A3
27,SLC29A4
27,SLC5A12
27,SLC5A6
27,SLC5A8
27,SOWAHC
27,SPOP
27,SPOPL
27,SPRED3
27,SRPK3
27,SSTR1
27,SSTR2
27,SSTR4
27,SSTR5
27,STOX2
27,TANC1
27,TANC2
27,TFB1M
27,TFB2M
27,TMIGD3
27,TNKS
27,TNKS2
27,TONSL
27,TRMT12
27,UACA
27,UBOX5
27,VIPR2
27,WDR77
27,ZDHHC13
27,ZDHHC17
27,ZRSR2P1
