Node,Score
HBIN036036,0.026953364232288536
HBIN014685,0.021663261625948466
HBIN027528,0.01865901709366289
HBIN029138,0.006393102965897483
HBIN021608,0.005543173962296123
HBIN014693,0.004625057674065479
HBIN016994,0.004353705228346163
HBIN035055,0.002999578503730659
HBIN005527,0.0024529870280105607
HBIN020903,0.0018094871077305615
HBIN044676,0.0005997118355161359
HBIN026609,0.000598940554570787
HBIN045032,0.000549563636296949
HBIN020406,0.0004191502771762799
HBIN012818,0.00031297669808337194
HBIN026067,0.00025032777102063206
HBIN014399,0.0002440907802327202
HBIN042438,0.00021403970971649986
HBIN020653,0.0001926176217198085
HBIN046523,0.00019089794610277833
HBIN044918,0.00017691067301598285
HBIN020908,0.00017606613740942385
HBIN049051,0.00017473610307529663
HBIN028076,0.00016945911609432621
HBIN039031,0.00016209290055622266
HBIN036162,0.0001474280601500245
HBIN014684,0.00014615739770262892
HBIN022584,0.00014341173253950976
HBIN035246,0.00013763779487764574
HBIN019425,0.00012271946718062332
HBIN045028,0.0001223425848688097
HBIN048051,8.979140382322892e-05
HBIN033339,8.289474588754529e-05
HBIN038424,6.965348859767989e-05
HBIN041495,5.213658355740678e-05
HBIN046084,5.154834029197594e-05
HBIN047905,4.9639093105420357e-05
HBIN038026,4.95618814049766e-05
HBIN045115,4.9377366765501824e-05
HBIN042172,4.474670598504387e-05
HBIN002095,4.141595434166797e-05
HBIN027670,3.90016754186818e-05
HBIN016505,3.6606033352990855e-05
HBIN024936,2.982147546846738e-05
HBIN016408,2.7128275480026152e-05
HBIN037188,2.689276131348754e-05
HBIN033597,2.3114617133823495e-05
HBIN017508,2.28933433158597e-05
HBIN048043,2.2438987948270848e-05
HBIN033803,2.2153339403899282e-05
HBIN045944,2.0640397763596002e-05
HBIN047613,1.9677850580112106e-05
HBIN045073,1.9214239002513634e-05
HBIN045031,1.863265668437461e-05
HBIN029419,1.8485092874530732e-05
HBIN014423,1.796988395609209e-05
HBIN018094,1.6305233498994815e-05
HBIN026385,1.4280435690691442e-05
HBIN000017,1.2829043806163941e-05
HBIN012943,1.2785849618643418e-05
HBIN048047,1.2689339330927564e-05
HBIN033609,1.2631549422714667e-05
HBIN030896,1.197298616550499e-05
HBIN045062,1.130662726935304e-05
HBIN022536,1.1066492377430146e-05
HBIN027103,1.1022482783659591e-05
HBIN042670,1.0854437071388889e-05
HBIN031753,1.0799961735277279e-05
HBIN006032,1.0553613532353593e-05
HBIN029840,1.0514249839940245e-05
HBIN018781,1.0483247590449663e-05
HBIN035161,1.0482800917837105e-05
HBIN035798,1.044805865401521e-05
HBIN008962,1.0387213182401672e-05
HBIN039000,1.0356547682629492e-05
HBIN027030,1.0317697998024271e-05
HBIN004663,1.0224985331641687e-05
HBIN016126,1.0219586217991608e-05
HBIN008534,1.016706035121003e-05
HBIN033751,1.0128316713448504e-05
HBIN024749,1.0075359121887136e-05
HBIN025918,1.0053341962089134e-05
HBIN026881,1.0053341962089134e-05
HBIN036366,8.950072238604219e-06
HBIN048342,8.936895287505946e-06
HBIN045937,8.910381081062015e-06
HBIN047561,8.856905614498842e-06
HBIN007606,8.844703280596332e-06
HBIN004061,8.715308217789689e-06
HBIN048368,8.629211525272463e-06
HBIN039070,8.60411499951371e-06
HBIN023132,8.488799504301046e-06
HBIN003914,8.321295148082402e-06
HBIN020511,8.123084145166695e-06
HBIN019786,7.555224238751222e-06
HBIN017056,7.5282026756073775e-06
HBIN040747,7.0659966064309834e-06
HBIN025300,6.776061995256326e-06
HBIN038627,6.264282945888585e-06
HBIN024354,6.132221680151662e-06
HBIN026662,6.088841576313029e-06
HBIN019298,6.026924202226901e-06
HBIN017341,5.640729438738686e-06
HBIN010983,5.499497813479469e-06
HBIN038680,5.493116358993131e-06
HBIN014176,5.453034719000013e-06
HBIN008944,5.415594548519011e-06
HBIN010879,5.373662104540358e-06
HBIN033093,5.3418369763916245e-06
HBIN009994,5.286926742238369e-06
HBIN013310,5.261736005064467e-06
HBIN030532,5.239745482948622e-06
HBIN019986,5.234431653625218e-06
HBIN044158,5.145100286204757e-06
HBIN028190,5.106220879294533e-06
HBIN009501,5.075776371105571e-06
HBIN034623,4.9517001681919946e-06
HBIN025026,4.939959149412369e-06
HBIN017043,4.908845433798788e-06
HBIN011699,4.855264348415135e-06
HBIN028191,4.6987084214037395e-06
HBIN033094,4.695362987592235e-06
HBIN033265,4.682043507432182e-06
HBIN027450,4.654089322234817e-06
HBIN026145,4.648821447858468e-06
HBIN011105,4.600760924801717e-06
HBIN028847,4.560015644190272e-06
HBIN019111,4.426612920821558e-06
HBIN006867,4.302977902659864e-06
HBIN018278,4.253717642793994e-06
HBIN001411,4.244025450123908e-06
HBIN014593,4.179317184502106e-06
HBIN015562,4.16730111117455e-06
HBIN018084,4.131411055397417e-06
HBIN014998,4.124082330969321e-06
HBIN002584,4.065112945895001e-06
HBIN012821,4.041979800729435e-06
HBIN029771,4.036089581110491e-06
HBIN010150,4.017168357603287e-06
HBIN015470,3.997953753974546e-06
HBIN015535,3.984705364334298e-06
HBIN012450,3.973736408226227e-06
HBIN010464,3.90614776076675e-06
HBIN012604,3.90614776076675e-06
HBIN008315,3.90614776076675e-06
HBIN008289,3.90614776076675e-06
HBIN013265,3.87835609362288e-06
HBIN028181,3.867171524487774e-06
HBIN037940,3.866086325778295e-06
HBIN036159,3.862206951945563e-06
HBIN006773,3.854355679026578e-06
HBIN011106,3.849608848502521e-06
HBIN015210,3.849307587310079e-06
HBIN032754,3.842415686463916e-06
HBIN011921,3.839980781173868e-06
HBIN007804,3.834984717501659e-06
HBIN035214,3.833498883756178e-06
HBIN015515,3.824466677419176e-06
HBIN010903,3.822819334336195e-06
HBIN007836,3.810872506116586e-06
HBIN012532,3.802435758204881e-06
HBIN008896,3.7921511981077024e-06
HBIN018033,3.79094650534108e-06
HBIN006358,3.7870265069381742e-06
HBIN030806,3.785331660465326e-06
HBIN011899,3.772312017713454e-06
HBIN010241,3.7661221438524834e-06
HBIN006777,3.764193081209406e-06
HBIN012693,3.759004975683733e-06
HBIN006810,3.7525842412331447e-06
HBIN014997,3.742175921411396e-06
HBIN033602,3.735470054409081e-06
HBIN014748,3.734612815138219e-06
HBIN007125,3.7175960018266296e-06
HBIN011823,3.710651797254495e-06
HBIN010510,3.6950839916928395e-06
HBIN010897,3.6886346374564884e-06
HBIN010513,3.6886346374564884e-06
HBIN012616,3.6886346374564884e-06
HBIN012317,3.6886346374564884e-06
HBIN012544,3.6886346374564884e-06
HBIN012551,3.6886346374564884e-06
HBIN012602,3.6886346374564884e-06
HBIN006998,3.6886346374564884e-06
HBIN012653,3.6886346374564884e-06
HBIN013209,3.6886346374564884e-06
HBIN005677,3.6886346374564884e-06
HBIN005758,3.6886346374564884e-06
HBIN005764,3.6886346374564884e-06
HBIN015219,3.6886346374564884e-06
HBIN007192,3.6886346374564884e-06
HBIN015564,3.6886346374564884e-06
HBIN008934,3.6886346374564884e-06
HBIN008314,3.6886346374564884e-06
HBIN008897,3.6886346374564884e-06
HBIN007760,3.6886346374564884e-06
HBIN007551,3.6886346374564884e-06
HBIN007313,3.6886346374564884e-06
HBIN009493,3.6886346374564884e-06
HBIN008933,3.6886346374564884e-06
HBIN001393,3.627438364059578e-06
HBIN029519,3.6201666501691254e-06
HBIN025120,3.605816380860649e-06
HBIN025028,3.605816380860649e-06
HBIN028189,3.605816380860649e-06
HBIN020679,3.605816380860649e-06
HBIN028193,3.605816380860649e-06
HBIN029082,3.605816380860649e-06
HBIN028037,3.605816380860649e-06
HBIN028177,3.605816380860649e-06
HBIN028135,3.605816380860649e-06
HBIN028030,3.605816380860649e-06
HBIN037085,3.6041263479736295e-06
HBIN037119,3.5958303849657866e-06
HBIN027475,3.57070415324684e-06
HBIN038485,3.545391153961146e-06
HBIN019948,3.5032198571585427e-06
HBIN035353,3.4919004435308288e-06
HBIN015584,3.447468061815073e-06
HBIN024821,3.423987488692443e-06
HBIN036308,3.4070392372419313e-06
HBIN031211,3.3682243518673555e-06
HBIN024535,3.359023155701933e-06
HBIN024976,3.3215588496238874e-06
HBIN031114,3.3004101592611812e-06
HBIN036050,3.2486205866578143e-06
HBIN019688,3.2295526958264526e-06
HBIN032812,3.2205349978497457e-06
HBIN026465,3.2174695911953783e-06
HBIN029074,3.211839856328059e-06
HBIN028546,3.1926392228354522e-06
HBIN038091,3.174532833203344e-06
HBIN026440,3.1620109251225476e-06
HBIN030134,3.144396722965429e-06
HBIN024184,3.121996921428339e-06
HBIN040966,3.074340289815706e-06
HBIN003995,3.026903890311391e-06
HBIN034960,3.0141401712851217e-06
HBIN030516,3.0034125118502064e-06
HBIN035135,2.990889700120141e-06
HBIN026468,2.9557261877395463e-06
HBIN039004,2.955597087002345e-06
HBIN017343,2.9279984987405067e-06
HBIN033245,2.9251086405315587e-06
HBIN046387,2.8984421406474957e-06
HBIN035109,2.893546987680512e-06
HBIN036380,2.883957539178885e-06
HBIN029196,2.8621707631418626e-06
HBIN019296,2.8258525355043656e-06
HBIN043467,2.8109327700021474e-06
HBIN025593,2.8011932514432953e-06
HBIN019962,2.7997250938366377e-06
HBIN033890,2.771208031183747e-06
HBIN029313,2.7488314737314176e-06
HBIN046016,2.743918422601277e-06
HBIN032807,2.73110405168008e-06
HBIN038995,2.719018250979328e-06
HBIN033076,2.7054043661812082e-06
HBIN033107,2.6957090604801806e-06
HBIN037281,2.6634428074195347e-06
HBIN032101,2.660931713564959e-06
HBIN028048,2.6479940488358927e-06
HBIN036819,2.6392921699609493e-06
HBIN031002,2.63281676129218e-06
HBIN028184,2.627672562631215e-06
HBIN038398,2.615767456188227e-06
HBIN035812,2.6117366713661965e-06
HBIN037213,2.5871751345608444e-06
HBIN020976,2.586951120044764e-06
HBIN015368,2.5758524247017553e-06
HBIN032992,2.555037057909987e-06
HBIN032583,2.5450757286798897e-06
HBIN032451,2.542728449199469e-06
HBIN035573,2.537237954168232e-06
HBIN009914,2.532702869975635e-06
HBIN037827,2.5303718178085464e-06
HBIN029445,2.5299648961341176e-06
HBIN007288,2.528600198624587e-06
HBIN029548,2.527978222616142e-06
HBIN024930,2.52625983126042e-06
HBIN021356,2.5121067557104744e-06
HBIN035670,2.493193933537908e-06
HBIN024347,2.4885143346768946e-06
HBIN020657,2.481257738090052e-06
HBIN013573,2.465741812216103e-06
HBIN030843,2.447396996794724e-06
HBIN033218,2.442303721027462e-06
HBIN034593,2.440804249431436e-06
HBIN036760,2.438260087594488e-06
HBIN033383,2.4291145600500826e-06
HBIN003305,2.424828579558925e-06
HBIN033098,2.415098942896747e-06
HBIN034745,2.4120318361925922e-06
HBIN033114,2.403924389085813e-06
HBIN037254,2.4021632801756728e-06
HBIN033109,2.38512503675149e-06
HBIN030562,2.382853991012315e-06
HBIN033895,2.378695695950897e-06
HBIN037250,2.3781424185238976e-06
HBIN029645,2.3763626594956214e-06
HBIN038168,2.3757535415112734e-06
HBIN029444,2.3718413739894157e-06
HBIN030137,2.370104860344292e-06
HBIN004642,2.369044540024032e-06
HBIN022815,2.3670004940635307e-06
HBIN021802,2.36309993277562e-06
HBIN033105,2.3567531002956384e-06
HBIN002884,2.352215485751694e-06
HBIN008674,2.350906200798707e-06
HBIN037796,2.343195680861798e-06
