Ingredient_id,Target_name
HBIN002818,PPARG
HBIN002818,PTGS1
HBIN003176,DPP4
HBIN003176,CA2
HBIN003176,PRSS1
HBIN003176,LYZ
HBIN003405,ESR1
HBIN003405,NR3C2
HBIN003405,AR
HBIN003948,IGLL5
HBIN003948,LRTOMT
HBIN003948,LVRN
HBIN003948,UBE2U
HBIN003948,COMTD1
HBIN003948,AOPEP
HBIN003948,UBE2Z
HBIN003948,ERAP2
HBIN003948,RNPEPL1
HBIN003948,SMYD2
HBIN003948,UBE2W
HBIN003948,UBE2R2
HBIN003948,ERAP1
HBIN003948,UBE2D4
HBIN003948,UBE2J1
HBIN003948,TLR8
HBIN003948,TRHDE
HBIN003948,UBE2T
HBIN003948,UBE2S
HBIN003948,UBE2E3
HBIN003948,NPEPPS
HBIN003948,UBE2L6
HBIN003948,UBE2N
HBIN003948,UBE2L3
HBIN003948,UBE2I
HBIN003948,UBE2G1
HBIN003948,UBE2E2
HBIN003948,UBE2E1
HBIN003948,UBE2D3
HBIN003948,UBE2D2
HBIN003948,UBE2D1
HBIN003948,UBE2B
HBIN003948,UBE2A
HBIN003948,TPSAB1
HBIN003948,RNPEP
HBIN003948,PRKX
HBIN003948,PRKG2
HBIN003948,PRKG1
HBIN003948,PRKACG
HBIN003948,PRKACB
HBIN003948,PRKACA
HBIN003948,LTA4H
HBIN003948,LNPEP
HBIN003948,UBE2K
HBIN003948,GRK6
HBIN003948,ENPEP
HBIN003948,COMT
HBIN003948,CDC34
HBIN003948,ANPEP
HBIN004459,ESR1
HBIN004459,AR
HBIN004459,FAXDC2
HBIN004459,MSMO1
HBIN005687,ACHE
HBIN007288,CA2
HBIN007288,DPEP1
HBIN007288,DPP4
HBIN007288,CDK2
HBIN007288,AR
HBIN007288,ACHE
HBIN007288,ESR2
HBIN007288,PPARG
HBIN007288,MAPK14
HBIN007288,PIM1
HBIN007288,ESR1
HBIN007288,CCNA2
HBIN007288,NOS2
HBIN007288,PRSS1
HBIN007288,GSK3B
HBIN007288,TP53
HBIN007288,PTGS2
HBIN007288,PTGS1
HBIN007288,PGR
HBIN007288,MGST1
HBIN007288,MAOB
HBIN007288,FASN
HBIN009603,ESR1
HBIN009603,DPEP1
HBIN009603,PPARG
HBIN009603,CCNA2
HBIN009603,DPP4
HBIN009603,CA2
HBIN009603,CDK2
HBIN009603,AR
HBIN009603,PTGS2
HBIN013157,ESR1
HBIN013157,CA2
HBIN013157,RXRA
HBIN013157,DPEP1
HBIN013157,PTGS2
HBIN013157,NOS2
HBIN013157,MAOB
HBIN013837,DPP4
HBIN013837,PLA2G1B
HBIN013837,PRSS1
HBIN013837,ACHE
HBIN013837,PRSS3
HBIN014139,NCOA2
HBIN014139,PTGS2
HBIN014139,PTGS1
HBIN014139,PRSS1
HBIN014139,MAOB
HBIN014139,ESR1
HBIN014139,CA2
HBIN014399,PC
HBIN014399,ACHE
HBIN014399,PHYKPL
HBIN014399,PCCA
HBIN014399,KYNU
HBIN014399,MTR
HBIN014399,ADH1A
HBIN014399,RNASE1
HBIN014399,NPL
HBIN014399,COX5A
HBIN014399,PIPOX
HBIN014399,PFKFB1
HBIN014399,F13A1
HBIN014399,KYAT1
HBIN014399,AGXT
HBIN014399,BHMT
HBIN014399,AGXT2
HBIN014399,SHMT1
HBIN014399,LDHA
HBIN014399,LCMT2
HBIN014399,TNFSF13B
HBIN014399,FKBP1A
HBIN014399,ALDH1B1
HBIN014399,PLPBP
HBIN014399,DCXR
HBIN014399,GLRA2
HBIN014399,PDHB
HBIN014399,HSD17B8
HBIN014399,SLC25A10
HBIN014399,METAP2
HBIN014399,ALDH4A1
HBIN014399,SDS
HBIN014399,DAO
HBIN014399,MGMT
HBIN014399,H6PD
HBIN014399,GSTM4
HBIN014399,SLC25A13
HBIN014399,SRC
HBIN014399,ACY1
HBIN014399,PIM1
HBIN014399,PPIA
HBIN014399,GALE
HBIN014399,GNPDA1
HBIN014399,NFS1
HBIN014399,CBS
HBIN014399,AARS2
HBIN014399,GLDC
HBIN014399,CA2
HBIN014399,GLRA3
HBIN014399,SDHA
HBIN014399,NAGS
HBIN014399,F7
HBIN014399,GM2A
HBIN014399,GLUD2
HBIN014399,FOLH1
HBIN014399,NDUFV1
HBIN014399,GALNS
HBIN014399,GCLM
HBIN014399,NDUFS3
HBIN014399,RBKS
HBIN014399,PDXP
HBIN014399,CHDH
HBIN014399,PRDX2
HBIN014399,GRIN2C
HBIN014399,GOT2
HBIN014399,ASRGL1
HBIN014399,PSMA1
HBIN014399,RDH11
HBIN014399,GPI
HBIN014399,PPIH
HBIN014399,SLC25A15
HBIN014399,PYCR2
HBIN014399,CBR1
HBIN014399,ADSS1
HBIN014399,PAFAH1B3
