"NodeNames","Score"
"HBIN014685",0.00105653127411583
"HBIN019691",0.000368049317404728
"HBIN026067",0.000299061673272129
"HBIN014399",0.000285352336355828
"HERB004938",0.000210108150591692
"HERB004950",0.000149482421069901
"HBIN021986",0.000135967627662867
"HBIN041495",0.000122538776777306
"HBIN021985",0.000119820177906246
"HERB002483",0.000111643391175878
"HBIN038387",9.34918049105552e-05
"HBIN038388",9.05314280918608e-05
"HBIN004214",8.72322412655238e-05
"HERB001749",8.43781645861457e-05
"HBIN036905",8.17023511317556e-05
"HBIN045028",6.8874274420482e-05
"HERB004013",6.70222787109259e-05
"HBIN042852",6.34468396299418e-05
"HBIN047613",5.36734414316635e-05
"HBIN021608",5.25849845545699e-05
"HBIN019786",5.24763310258285e-05
"HBIN028076",4.97445205629168e-05
"HBIN036162",4.88186069089388e-05
"HBIN040908",4.7728777000752e-05
"HBIN017024",4.61081071874191e-05
"HBIN027746",4.61014030539784e-05
"HBIN044730",4.38033359648912e-05
"HBIN037638",4.26504650051661e-05
"HBIN037644",4.26504650051661e-05
"HERB007023",4.2115445116078e-05
"HBIN020406",4.03445731707188e-05
"HBIN016505",3.89907538516106e-05
"HBIN031753",3.28028227620674e-05
"HBIN017893",2.98262016166506e-05
"HBIN045811",2.78283795231987e-05
"HBIN045062",2.73482540612612e-05
"HBIN027030",2.43422542699326e-05
"HBIN027103",2.21056863691681e-05
"HBIN019307",2.19217361435823e-05
"HBIN033339",2.1480173049337e-05
"HBIN014684",2.10933724366942e-05
"HBIN037936",2.09814808806325e-05
"HBIN033338",2.08262580640008e-05
"HBIN038026",1.76597371919409e-05
"HBIN044158",1.7142965983554e-05
"HBIN017364",1.70865563060782e-05
"HBIN018278",1.63409687655745e-05
"HBIN045073",1.50758211760284e-05
"HBIN033583",1.42920040071693e-05
"HBIN038787",1.26944370671284e-05
"HBIN020270",1.22131178935789e-05
"HBIN025041",1.19422790734682e-05
"HBIN017056",1.17468117153903e-05
"HBIN042670",1.08811781108127e-05
"HBIN019614",1.05484513002535e-05
"HBIN038485",1.05277827893769e-05
"HBIN018094",1.02675109104763e-05
"HBIN036907",1.00541604939601e-05
"HBIN045516",9.98423625919431e-06
"HBIN048036",9.7417819005642e-06
"HBIN033609",9.5825842735257e-06
"HERB005118",8.85309875629335e-06
"HBIN024164",8.74565357522853e-06
"HBIN025012",8.56912704914273e-06
"HBIN046110",8.45090787517274e-06
"HBIN019298",8.21979801651575e-06
"HBIN024936",7.96494091300377e-06
"HBIN018951",7.81520986453901e-06
"HBIN025006",7.76263580944964e-06
"HBIN015368",7.45525619550337e-06
"HBIN036308",6.86231531036825e-06
"HBIN032754",6.55777268668406e-06
"HBIN046359",6.30159907069638e-06
"HERB006908",6.29202436040353e-06
"HBIN033890",5.84627007212356e-06
"HBIN037940",5.49882125612022e-06
"HBIN027927",4.73073998014907e-06
"HBIN028546",4.67981139099118e-06
"HBIN044918",4.27756431348128e-06
"HBIN016163",4.24380855082713e-06
"HBIN038627",4.21926098689457e-06
"HBIN025024",4.10933761774835e-06
"HBIN020260",4.01573461374452e-06
"HBIN031114",3.96052557797938e-06
"HBIN023338",3.91277199081105e-06
"HBIN034284",3.90124706267915e-06
"HBIN026829",3.83574274528236e-06
"HBIN017574",3.80962109035504e-06
"HBIN031722",3.69655587681092e-06
"HBIN038680",3.68963165126603e-06
"HBIN041752",3.66646979218898e-06
"HBIN021166",3.59364930831241e-06
"HBIN029313",3.48055520096591e-06
"HBIN043228",3.47319909627007e-06
"HBIN044152",3.45414852492844e-06
"HBIN019111",3.45022161267976e-06
"HBIN048362",3.34374142773317e-06
"HBIN030613",3.33471396707148e-06
"HBIN043289",3.28685718360437e-06
"HBIN040811",3.27685991730877e-06
"HBIN007288",3.2598909094278e-06
"HBIN047437",3.18165668940763e-06
"HBIN019986",3.16779705336118e-06
"HBIN019921",3.15122441523544e-06
"HBIN035415",3.05604720666058e-06
"HBIN039439",2.98497618116532e-06
"HBIN023084",2.98256233967754e-06
"HBIN046052",2.90065528434648e-06
"HBIN019475",2.89559219645018e-06
"HBIN022815",2.89007140909481e-06
"HBIN040086",2.86716556611296e-06
"HBIN039207",2.84156887008264e-06
"HBIN036819",2.84046628459721e-06
"HBIN021796",2.78438487735181e-06
"HBIN037087",2.76556951359494e-06
"HBIN035598",2.7583162983972e-06
"HBIN038556",2.74723894673603e-06
"HBIN033265",2.73455591197737e-06
"HBIN040005",2.71265212454482e-06
"HBIN043437",2.70525188099634e-06
"HBIN019735",2.67891289176963e-06
"HBIN029831",2.66124749902511e-06
"HBIN028769",2.59614210941177e-06
"HBIN045673",2.59340783769024e-06
"HBIN029963",2.5903256499425e-06
"HBIN031501",2.58317090057474e-06
"HBIN034216",2.55517929232158e-06
"HBIN047744",2.52468101799292e-06
"HBIN031032",2.52444433466762e-06
"HBIN044961",2.511812706359e-06
"HBIN015117",2.49664412828783e-06
"HBIN042657",2.47837969538029e-06
"HBIN018385",2.40999011487377e-06
"HBIN046387",2.31947750372002e-06
"HBIN038558",2.27783593486652e-06
"HBIN021292",2.27208655985644e-06
"HBIN038666",2.22599488678615e-06
"HBIN021430",2.21415707927797e-06
"HBIN019652",2.20203899394453e-06
"HBIN041903",2.19268443432406e-06
"HBIN019688",2.17280656578555e-06
"HBIN027475",2.17163075092369e-06
"HBIN034094",2.16451792092316e-06
"HBIN033218",2.16068581921616e-06
"HBIN017897",2.13332915821038e-06
"HBIN046198",2.12790578818102e-06
"HBIN007584",2.11781838596073e-06
"HBIN039451",2.11579342860637e-06
"HBIN039396",2.11278742721978e-06
"HBIN034739",2.11198579746941e-06
"HBIN016691",2.09532422769801e-06
"HBIN029720",2.0901075441745e-06
"HBIN042162",2.0757514915266e-06
"HBIN048758",2.07290481330658e-06
