Syndrome_id,SYMBOL
Syndrome 5,ADCYAP1
Syndrome 5,BCL10
Syndrome 5,CCL5
Syndrome 5,COL11A2
Syndrome 5,CRAT
Syndrome 5,CYCS
Syndrome 5,GHRHR
Syndrome 5,GNAS
Syndrome 5,IFNAR2
Syndrome 5,MT3
Syndrome 5,NCF4
Syndrome 5,NUP62
Syndrome 5,PTH1R
Syndrome 5,SH3PXD2B
Syndrome 5,TRPM1
Syndrome 5,TRPM4
Syndrome 5,SMAD7
Syndrome 5,SFN
Syndrome 5,VIPR1
Syndrome 5,PLK2
Syndrome 5,SPDEF
Syndrome 5,ADM2
Syndrome 5,ADCYAP1R1
Syndrome 5,BECN1
Syndrome 5,CD24
Syndrome 5,CRHR2
Syndrome 5,DUOX1
Syndrome 5,GHRH
Syndrome 5,GIPR
Syndrome 5,GLP2R
Syndrome 5,IAPP
Syndrome 5,LY96
Syndrome 5,NOXO1
Syndrome 5,PIK3C3
Syndrome 5,PTH2
Syndrome 5,PTH2R
Syndrome 5,SCT
Syndrome 5,SCTR
Syndrome 5,SLC29A4
Syndrome 5,TRPM3
Syndrome 5,TRPM5
Syndrome 5,VIP
Syndrome 5,VIPR2
Syndrome 5,ACACA
Syndrome 5,ACADS
Syndrome 5,ACTN4
Syndrome 5,ALDH6A1
Syndrome 5,ALG3
Syndrome 5,APOD
Syndrome 5,ASXL1
Syndrome 5,ATP6AP2
Syndrome 5,ATXN3
Syndrome 5,BAZ1B
Syndrome 5,BCAP31
Syndrome 5,BCKDK
Syndrome 5,BICD2
Syndrome 5,BIN1
Syndrome 5,BLVRA
Syndrome 5,BSCL2
Syndrome 5,BTD
Syndrome 5,CACNA2D1
Syndrome 5,CAVIN1
Syndrome 5,CDKL5
Syndrome 5,CDKN2A
Syndrome 5,CEP164
Syndrome 5,CEP290
Syndrome 5,CLN3
Syndrome 5,CNGB1
Syndrome 5,COL6A2
Syndrome 5,COQ9
Syndrome 5,CSNK1D
Syndrome 5,CSPP1
Syndrome 5,CST3
Syndrome 5,CUL3
Syndrome 5,DACT1
Syndrome 5,DCAF8
Syndrome 5,DDOST
Syndrome 5,DYM
Syndrome 5,DYNC1H1
Syndrome 5,EDA
Syndrome 5,EFEMP2
Syndrome 5,EFHC1
Syndrome 5,EIF2B2
Syndrome 5,ESS2
Syndrome 5,EWSR1
Syndrome 5,FBLN1
Syndrome 5,FBXO31
Syndrome 5,FERMT1
Syndrome 5,FIG4
Syndrome 5,FOXE1
Syndrome 5,GAS8
Syndrome 5,GDI1
Syndrome 5,GMNN
Syndrome 5,GMPPA
Syndrome 5,GP6
Syndrome 5,GSTM1
Syndrome 5,GSTM2
Syndrome 5,GTF2IRD1
Syndrome 5,HLA-DRA
Syndrome 5,HNMT
Syndrome 5,HOXA11
Syndrome 5,HPD
Syndrome 5,HTRA1
Syndrome 5,IDS
Syndrome 5,IGF2
Syndrome 5,IRF1
Syndrome 5,KIF1B
Syndrome 5,KIF5C
Syndrome 5,LAMB2
Syndrome 5,LTBP4
Syndrome 5,LYRM4
Syndrome 5,MANBA
Syndrome 5,MMP9
Syndrome 5,MOG
Syndrome 5,MPO
Syndrome 5,MRPL44
Syndrome 5,MTM1
Syndrome 5,NBAS
Syndrome 5,NDUFAF6
Syndrome 5,NEK1
Syndrome 5,NF2
Syndrome 5,NIPBL
Syndrome 5,NUMA1
Syndrome 5,NUP93
Syndrome 5,PARN
Syndrome 5,PAX4
Syndrome 5,PCM1
Syndrome 5,PEX1
Syndrome 5,PEX16
Syndrome 5,PEX3
Syndrome 5,PIGG
Syndrome 5,PKLR
Syndrome 5,PMVK
Syndrome 5,PON1
Syndrome 5,PPARA
Syndrome 5,PPP2R1B
Syndrome 5,PRPF3
Syndrome 5,PSEN1
Syndrome 5,PUF60
Syndrome 5,RAB3GAP2
Syndrome 5,RASGRP2
Syndrome 5,RASSF1
Syndrome 5,RBPJ
Syndrome 5,RLBP1
Syndrome 5,RLIM
Syndrome 5,RNASET2
Syndrome 5,RNF113A
Syndrome 5,RPS19
Syndrome 5,SDCCAG8
Syndrome 5,SDHD
Syndrome 5,SEC63
Syndrome 5,SECISBP2
Syndrome 5,SETBP1
Syndrome 5,SF3B1
Syndrome 5,SKI
Syndrome 5,SLC25A4
Syndrome 5,SLC2A2
Syndrome 5,SLC35D1
Syndrome 5,SMCHD1
Syndrome 5,SOAT1
Syndrome 5,SOBP
Syndrome 5,SOS1
Syndrome 5,SSR4
Syndrome 5,STOM
Syndrome 5,STT3A
Syndrome 5,STUB1
Syndrome 5,TCTN1
