fang1,fang2,fang3,fang4,fang5,fang6,fang7,fang8,fang9,,·½1-9É¾ÖØºó83,Ë¼¿¼´ýÕÒ¶ÔÓ¦µÄherb,,,
HBIN034423,HBIN019690,HBIN034423,HBIN034423,HBIN014685,HBIN014685,HBIN036036,HBIN001991,HBIN001991,,HBIN014685,6,9,adeninenucleoside,ÏÙàÑßÊºËÜÕËá
HERB004609,HBIN014685,HERB004609,HERB004609,HBIN019691,HBIN047613,HBIN014685,HBIN014685,HBIN014685,,HBIN021985,2,7,curcumin,½ª»ÆËØ
HBIN019691,HERB002560,HBIN046831,HBIN046831,HBIN026067,HBIN045516,HBIN027528,HERB004984,HERB004984,,HBIN026067,9,7,eugenol,¶¡Ïã·Ó
HBIN046831,HBIN018100,HBIN019690,HBIN019690,HBIN014399,HERB004950,HBIN021608,HBIN034423,HBIN034423,,HBIN014399,5,6,acetic acid,ÒÒËá
HBIN042172,HBIN017246,HBIN019691,HBIN019691,HERB004938,HBIN020406,HERB003658,HERB004004,HBIN041495,,HBIN034423,2,5,mannose-b,¸ÊÂ¶ÌÇ-b
HBIN014685,HERB001210,HBIN042172,HBIN042172,HERB004950,HBIN002554,HBIN014693,HBIN041495,HERB004004,,HBIN019691,2,5,capsaicin (e),À±½·¼î
HBIN020984,HBIN021985,HBIN014685,HBIN014685,HBIN021986,HBIN045176,HERB000225,HBIN020984,HBIN020984,,HBIN020984,4,5,citric acid,ÄûÃÊËá
HBIN014693,HBIN014399,HBIN020984,HBIN020984,HBIN041495,HERB004938,HERB006950,HBIN031753,HBIN007081,,HBIN034357,2,5,maltose-b,ÂóÑ¿ÌÇ-b
HBIN027747,HBIN019425,HBIN014693,HBIN014693,HBIN021985,HBIN019691,HBIN035055,HBIN034357,HBIN019786,,HBIN014693,6,4,adenosine,ÏÙÜÕ
HERB001749,HBIN045073,HERB002560,HERB000638,HERB002483,HBIN041495,HBIN020908,HBIN042852,HERB001210,,HBIN045073,7,4,sucrose,ÕáÌÇ
HBIN034357,,HBIN018100,HBIN018100,HBIN038387,HBIN026067,HBIN046523,HBIN001977,HBIN038026,,HBIN021608,5,4,coumarin,Ïã¶¹ËØ
HBIN045073,,HBIN027747,HERB002560,HBIN038388,HBIN021985,HBIN020903,HBIN026067,HBIN028041,,HBIN020653,4,4,cinnamaldehyde,Èâ¹ðÈ©
HBIN042111,,HBIN017246,HBIN027747,HBIN004214,HBIN038026,HBIN014399,HBIN033751,HBIN021985,,HBIN041495,10,4,quercetin,éÎÆ¤ËØ
HERB001210,,HBIN034357,HBIN017246,HERB001749,HBIN028769,HBIN026609,HERB004719,HBIN008361,,HBIN046831,1,3,trans-resveratrol,·´Ê½°×Þ¼Â«´¼
HBIN014399,,HERB001749,HBIN034357,HBIN036905,HERB001749,HBIN038026,HBIN020653,HBIN034357,,HBIN042172,3,3,rhamnose,ÊóÀîÌÇ
HBIN021985,,HBIN045073,HBIN019425,HBIN045028,HBIN020260,HERB000330,HBIN004074,HBIN042852,,HBIN027747,2,3,ginsenoside- Rg1,ÈË²ÎÔíÜÕRg1
HBIN003948,,HBIN019425,HBIN045073,HERB004013,HBIN026843,HBIN044676,HBIN045833,HBIN001977,,HBIN042111,1,3,resveratrol,°×Þ¼Â«´¼
HERB000309,,HBIN042111,HBIN042111,HBIN042852,HERB004013,HERB006280,,HBIN026067,,HBIN016571,1,3,arachidonate,»¨ÉúËÄÏ©Ëá
HBIN016571,,HBIN014399,HERB001210,HBIN047613,,HBIN028076,,HBIN031753,,HBIN008361,2,3,3-butylidene-phalide,Õý¶¡Ï©»ùÄÚõ¥
HBIN021188,,HBIN003948,HBIN014399,HBIN021608,,HERB004694,,HBIN033751,,HBIN027764,2,3,ginsenoside rh2,ÈË²ÎÔíÜÕRh2
HERB000267,,HERB001210,HBIN019762,HBIN019786,,HBIN045032,,HBIN036308,,HBIN040811,4,3,Prolinum,ÌìóÃ»Æ
HBIN008361,,HBIN026067,HBIN021608,HBIN028076,,HBIN022584,,HBIN020653,,HBIN020406,12,3,choline,µ¨¼î
HBIN027764,,HBIN021608,HBIN021985,HBIN036162,,HBIN019111,,,,HBIN019690,2,3,capsaicin,À±½·ËØ
HBIN040811,,HBIN020653,HERB005022,HBIN040908,,HBIN020406,,,,HBIN018100,1,3,¦Âetaine,Ìð²Ë¼î
