·½1-9,·½1-9É¾ÖØºó106,,·½1-9É¾ÖØºó83,,,pubmed¼ìË÷(thyroid cancer) AND (naphthalene),·½1-9É¾ÖØºó14¸öºËÐÄÐ¡·Ö×Ó,,,source_fang,fang1,fang2,fang3,fang4,fang5,fang6,fang7,fang8,fang9
HBIN034423,HBIN034423,mannose-b,HBIN034423,mannose-b,¸ÊÂ¶ÌÇ-b,0,HBIN027747,ginsenoside- Rg1,ÈË²ÎÔíÜÕRg1,Formula 1.3.4,HBIN034423,HBIN019690,HBIN034423,HBIN034423,HBIN014685,HBIN014685,HBIN036036,HBIN001991,HBIN001991
HERB004609,HERB004609,#N/A,HBIN019691,capsaicin (e),À±½·¼î,,HBIN042111,resveratrol,°×Þ¼Â«´¼,Formula 1.3.4,HERB004609,HBIN014685,HERB004609,HERB004609,HBIN019691,HBIN047613,HBIN014685,HBIN014685,HBIN014685
HBIN019691,HBIN019691,capsaicin (e),HBIN046831,trans-resveratrol,·´Ê½°×Þ¼Â«´¼,,HBIN021985,curcumin,½ª»ÆËØ,Formula 1.2.3.4.5.6.9,HBIN019691,HERB002560,HBIN046831,HBIN046831,HBIN026067,HBIN045516,HBIN027528,HERB004984,HERB004984
HBIN046831,HBIN046831,trans-resveratrol,HBIN042172,rhamnose,ÊóÀîÌÇ,0,HBIN027764,ginsenoside rh2,ÈË²ÎÔíÜÕRh2,Formula 1.3.4,HBIN046831,HBIN018100,HBIN019690,HBIN019690,HBIN014399,HERB004950,HBIN021608,HBIN034423,HBIN034423
HBIN042172,HBIN042172,rhamnose,HBIN014685,adeninenucleoside,ÏÙàÑßÊºËÜÕËá,0,HBIN019690,capsaicin,À±½·ËØ,Formula 2.3.4,HBIN042172,HBIN017246,HBIN019691,HBIN019691,HERB004938,HBIN020406,HERB003658,HERB004004,HBIN041495
HBIN014685,HBIN014685,adeninenucleoside,HBIN020984,citric acid,ÄûÃÊËá,,HBIN019425,calycosin,Ã«ÈïÒì»ÆÍª,Formula 2.3.4,HBIN014685,HERB001210,HBIN042172,HBIN042172,HERB004950,HBIN002554,HBIN014693,HBIN041495,HERB004004
HBIN020984,HBIN020984,citric acid,HBIN014693,adenosine,ÏÙÜÕ,,HBIN026067,eugenol,¶¡Ïã·Ó,Formula 3.4.5.6.7.8.9,HBIN020984,HBIN021985,HBIN014685,HBIN014685,HBIN021986,HBIN045176,HERB000225,HBIN020984,HBIN020984
HBIN014693,HBIN014693,adenosine,HBIN027747,ginsenoside- Rg1,ÈË²ÎÔíÜÕRg1,,HBIN021608,coumarin,Ïã¶¹ËØ,Formula 3.4.5.7,HBIN014693,HBIN014399,HBIN020984,HBIN020984,HBIN041495,HERB004938,HERB006950,HBIN031753,HBIN007081
HBIN027747,HBIN027747,ginsenoside- Rg1,HBIN034357,maltose-b,ÂóÑ¿ÌÇ-b,0,HBIN022577,daidzein,´ó¶¹»ÆÍª,Formula 3.4,HBIN027747,HBIN019425,HBIN014693,HBIN014693,HBIN021985,HBIN019691,HBIN035055,HBIN034357,HBIN019786
HERB001749,HERB001749,#N/A,HBIN045073,sucrose,ÕáÌÇ,,HBIN019762,carotene,ºúÂÜ²·ËØ,Formula 4,HERB001749,HBIN045073,HERB002560,HERB000638,HERB002483,HBIN041495,HBIN020908,HBIN042852,HERB001210
