Gene_id,Gene_symbol
1,A2M
2,A2ML1
3,A4GALT
4,AAAS
5,AAGAB
6,AANAT
7,AARS
8,AARS2
9,AASS
10,ABAT
11,ABCA1
12,ABCA12
13,ABCA3
14,ABCA4
15,ABCA5
16,ABCB1
17,ABCB11
18,ABCB4
19,ABCB5
20,ABCB6
21,ABCB7
22,ABCC1
23,ABCC2
24,ABCC4
25,ABCC6
26,ABCC8
27,ABCC9
28,ABCD1
29,ABCD3
30,ABCD4
31,ABCG1
32,ABCG2
33,ABCG5
34,ABCG8
35,ABHD12
36,ABHD5
37,ABL1
38,ACACA
39,ACAD8
40,ACAD9
41,ACADM
42,ACADS
43,ACADSB
44,ACADVL
45,ACAN
46,ACAT1
47,ACAT2
48,ACD
49,ACE
50,ACE2
51,ACHE
52,ACO2
53,ACOX1
54,ACP2
55,ACP5
56,ACPP
57,ACSF3
58,ACSL1
59,ACSL4
60,ACTA1
61,ACTA2
62,ACTB
63,ACTC1
64,ACTG1
65,ACTG2
66,ACTN1
67,ACTN2
68,ACTN4
69,ACVR1
70,ACVR2B
71,ACVRL1
72,ACY1
73,ADA
74,ADA2
75,ADAM10
76,ADAM17
77,ADAM9
78,ADAMTS10
79,ADAMTS13
80,ADAMTS17
81,ADAMTS18
82,ADAMTS2
83,ADAMTSL2
84,ADAMTSL4
85,ADAR
86,ADAT3
87,ADCY1
88,ADCY10
89,ADCY2
90,ADCY5
91,ADCY6
92,ADCYAP1
93,ADGRE2
94,ADGRG1
95,ADGRG2
96,ADGRG6
97,ADGRV1
98,ADK
99,ADNP
100,ADORA2A
101,ADORA3
102,ADRA1A
103,ADRA2A
104,ADRA2B
105,ADRB1
106,ADRB2
107,ADRB3
108,ADSL
109,AFF2
110,AFF4
111,AFG3L2
112,AFP
113,AGA
114,AGBL1
115,AGBL5
116,AGGF1
117,AGK
118,AGL
119,AGPAT2
120,AGPS
121,AGRN
122,AGT
123,AGTR1
124,AGTR2
125,AGXT
126,AHCY
127,AHDC1
128,AHI1
129,AHR
130,AICDA
131,AIFM1
132,AIMP1
133,AIP
134,AIPL1
135,AIRE
136,AK1
137,AK2
138,AKAP9
139,AKR1B1
140,AKR1C1
141,AKR1C2
142,AKR1C3
143,AKR1D1
144,AKT1
145,AKT2
146,AKT3
147,ALAD
148,ALAS1
149,ALAS2
150,ALB
151,ALDH18A1
152,ALDH1A3
153,ALDH2
154,ALDH3A1
155,ALDH3A2
156,ALDH4A1
157,ALDH5A1
158,ALDH6A1
159,ALDH7A1
160,ALDOA
161,ALDOB
162,ALG1
163,ALG11
164,ALG12
165,ALG13
166,ALG14
167,ALG2
168,ALG3
169,ALG6
170,ALG8
171,ALG9
172,ALK
173,ALMS1
174,ALOX12B
175,ALOX5
176,ALOXE3
177,ALPL
178,ALS2
179,ALX1
180,ALX3
181,ALX4
182,AMACR
183,AMBN
184,AMD1
185,AMELX
186,AMER1
187,AMH
188,AMHR2
189,AMMECR1
190,AMN
191,AMPD1
192,AMPD2
193,AMT
194,AMY2A
195,ANG
196,ANGPTL3
197,ANK1
198,ANK2
199,ANK3
200,ANKH
201,ANKLE2
202,ANKRD1
203,ANKRD11
204,ANKRD26
205,ANKRD55
206,ANKS6
207,ANLN
208,ANO10
209,ANO3
210,ANO5
211,ANO6
212,ANOS1
213,ANTXR1
214,ANTXR2
215,ANXA5
216,AOC3
217,AP1S1
218,AP1S2
219,AP2S1
220,AP3B1
221,AP4B1
222,AP4E1
223,AP4M1
224,AP4S1
225,AP5Z1
226,APAF1
227,APC
228,APC2
229,APCDD1
230,APOA1
231,APOA5
232,APOB
233,APOC2
234,APOC3
235,APOD
236,APOE
237,APOPT1
238,APP
239,APRT
240,APTX
241,AQP1
242,AQP2
243,AQP5
244,AR
245,ARFGEF2
246,ARG1
247,ARG2
248,ARHGAP26
249,ARHGAP31
250,ARHGDIA
251,ARHGEF10
252,ARHGEF6
253,ARHGEF9
254,ARID1A
255,ARID1B
256,ARL13B
257,ARL2BP
258,ARL6
259,ARL6IP1
260,ARMC4
261,ARMC5
262,ARNT2
263,ARSA
264,ARSB
265,ARSE
266,ARVCF
267,ARX
268,ASAH1
269,ASB10
270,ASCC1
271,ASCL1
272,ASL
273,ASNS
274,ASPA
275,ASPH
276,ASPM
277,ASPSCR1
278,ASS1
279,ASXL1
280,ASXL3
281,ATCAY
282,ATF2
283,ATF6
284,ATIC
285,ATL1
286,ATL3
287,ATM
288,ATN1
289,ATP13A2
290,ATP1A1
291,ATP1A2
292,ATP1A3
293,ATP2A1
294,ATP2A2
295,ATP2C1
296,ATP5A1
297,ATP5B
298,ATP6
299,ATP6AP2
300,ATP6V0A2
301,ATP6V0A4
302,ATP6V1B1
303,ATP6V1B2
304,ATP7A
305,ATP7B
306,ATP8
307,ATP8A2
308,ATP8B1
309,ATPAF2
310,ATR
311,ATRIP
312,ATRX
313,ATXN1
314,ATXN10
315,ATXN2
316,ATXN3
317,ATXN7
318,ATXN8
319,ATXN8OS
320,AUH
321,AURKA
322,AURKC
323,AUTS2
324,AVP
325,AVPR2
326,AXIN1
327,AXIN2
328,AXL
329,B2M
330,B3GALNT2
331,B3GALT6
332,B3GAT3
333,B3GLCT
334,B4GALT1
335,B4GALT4
336,B4GALT7
337,B4GAT1
338,B9D1
339,B9D2
340,BAAT
341,BAD
342,BAG3
343,BANF1
344,BAP1
345,BAZ1B
346,BBIP1
347,BBS1
348,BBS10
349,BBS12
350,BBS2
351,BBS4
352,BBS5
353,BBS7
354,BBS9
355,BCAP31
356,BCHE
357,BCKDHA
358,BCKDHB
359,BCKDK
360,BCL10
361,BCL2
362,BCL2L1
363,BCL2L2
364,BCL6
365,BCO1
366,BCOR
367,BCR
368,BCS1L
369,BDNF
370,BEAN1
371,BEST1
372,BFSP1
373,BFSP2
374,BGLAP
375,BGN
376,BHLHA9
377,BICD2
378,BIN1
379,BIRC3
380,BIRC5
381,BLK
382,BLM
383,BLNK
384,BLOC1S3
385,BLOC1S6
386,BLVRA
387,BMP1
388,BMP15
389,BMP2
390,BMP4
391,BMPER
392,BMPR1A
393,BMPR1B
394,BMPR2
395,BMS1
396,BOLA3
397,BPGM
398,BPY2
399,BRAF
400,BRAT1
401,BRCA1
402,BRCA2
403,BRF1
404,BRIP1
405,BRWD3
406,BSCL2
407,BSND
408,BTD
409,BTK
410,BTNL2
411,BTRC
412,BUB1
413,BUB1B
414,BUB3
415,BVES
416,C1GALT1C1
417,C1QA
418,C1QB
419,C1QC
420,C1QTNF5
421,C1R
422,C1S
423,C2
424,C2CD3
425,C3
426,C4A
427,C4B
428,C5
429,C6
430,C7
431,C8A
432,C8B
433,C9
434,CA1
435,CA12
436,CA2
437,CA4
438,CA5A
439,CA8
440,CA9
441,CABP2
442,CABP4
443,CACNA1A
444,CACNA1B
445,CACNA1C
446,CACNA1D
447,CACNA1F
448,CACNA1G
449,CACNA1H
450,CACNA1S
451,CACNA2D1
452,CACNA2D4
453,CACNB2
454,CACNB4
455,CACNG2
456,CAD
457,CALCA
458,CALCR
459,CALM1
460,CALM2
461,CALM3
462,CALR
463,CALR3
464,CAMK4
465,CAMKMT
466,CAMP
467,CAMTA1
468,CANT1
469,CAPN1
470,CAPN3
471,CAPN5
472,CARD11
473,CARD14
474,CARD9
