Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT00284","ATIC","2","5-aminoimidazole-4-carboxamide Ribonucleotide Formyltransferase/IMP Cyclohydrolase","Bifunctional Purine Biosynthesis Protein PURH","ENSG00000138363","P31939","0.00890204","0.311202","1.0","By_herb","0.2051"
"SMTT00926","DDX58","9","DExD/H-box Helicase 58","None","ENSG00000107201","None","0.0412023","0.326319","1.0","By_herb","0.1545"
"SMTT00950","DICER1","14","Dicer 1, Ribonuclease III","None","ENSG00000100697","None","0.0499186","0.336352","1.0","By_herb","0.1555"
"SMTT01197","FANCM","14","Fanconi Anemia Complementation Group M","None","ENSG00000187790","None","0.0324462","0.316351","1.0","By_herb","0.1588"
"SMTT01269","FMR1","X","Fragile X Mental Retardation 1","None","ENSG00000102081","None","0.038288","0.324423","1.0","By_herb","0.1377"
"SMTT01648","IFIH1","2","Interferon Induced With Helicase C Domain 1","None","ENSG00000115267","None","0.0441122","0.330247","1.0","By_herb","0.157"
"SMTT02183","MTFMT","15","Mitochondrial Methionyl-tRNA Formyltransferase","Methionyl-tRNA Formyltransferase, Mitochondrial","ENSG00000103707","Q96DP5","0.00890204","0.311202","1.0","By_herb","0.2028"
"SMTT03148","SLC26A4","7","Solute Carrier Family 26 Member 4","None","ENSG00000091137","None","0.0441122","0.330247","1.0","By_herb","0.1462"
"SMTT03238","SNAP29","22","Synaptosome Associated Protein 29","None","ENSG00000099940","None","0.0265867","0.311202","1.0","By_herb","0.1433"
"SMTT03383","TARDBP","1","TAR DNA Binding Protein","None","ENSG00000120948","None","0.0412023","0.326319","1.0","By_herb","0.1467"
"SMTT03623","TUBA1A","12","Tubulin Alpha 1a","Tubulin Alpha-1A Chain","ENSG00000167552","Q71U36","0.0470176","0.336352","1.0","By_herb","0.1538"
"SMTT03624","TUBA4A","2","Tubulin Alpha 4a","Tubulin Alpha-4A Chain","ENSG00000127824","P68366","0.0412023","0.326319","1.0","By_herb","0.1667"
"SMTT03625","TUBA8","22","Tubulin Alpha 8","Tubulin Alpha-8 Chain","ENSG00000183785","Q9NY65","0.0441122","0.330247","1.0","By_herb","0.1712"
"SMTT03626","TUBB","6","Tubulin Beta Class I","Tubulin Beta Chain","ENSG00000196230","P07437","0.0324462","0.316351","1.0","By_herb","0.2087"
"SMTT03627","TUBB1","20","Tubulin Beta 1 Class VI","Tubulin Beta-1 Chain","ENSG00000101162","Q9H4B7","0.038288","0.324423","1.0","By_herb","0.1684"
"SMTT03628","TUBB2A","6","Tubulin Beta 2A Class IIa","Tubulin Beta-2A Chain","ENSG00000137267","Q13885","0.0353693","0.316351","1.0","By_herb","0.1576"
"SMTT03629","TUBB2B","6","Tubulin Beta 2B Class IIb","Tubulin Beta-2B Chain","ENSG00000137285","Q9BVA1","0.0353693","0.316351","1.0","By_herb","0.1647"
"SMTT03630","TUBB3","16","Tubulin Beta 3 Class III","Tubulin Beta-3 Chain","ENSG00000258947","Q13509","0.0353693","0.316351","1.0","By_herb","0.1915"
"SMTT03632","TUBG1","17","Tubulin Gamma 1","Tubulin Gamma-1 Chain","ENSG00000131462","P23258","0.0441122","0.330247","1.0","By_herb","0.1609"
"SMTT06042","DHX58","None","DExH-box helicase 58","None","ENSG00000108771","None","0.038288","0.324423","1.0","By_herb","0.1593"
"SMTT06149","DROSHA","None","drosha ribonuclease III","None","ENSG00000113360","None","0.0295187","0.311202","1.0","By_herb","0.1558"
"SMTT06506","FAM3B","None","family with sequence similarity 3 member B","None","ENSG00000183844","None","0.038288","0.324423","1.0","By_herb","0.1413"
"SMTT06668","FPGS","None","folylpolyglutamate synthase","None","ENSG00000136877","None","0.00890204","0.311202","1.0","By_herb","0.1995"
"SMTT06703","FXR1","None","FMR1 autosomal homolog 1","None","ENSG00000114416","None","0.0470176","0.336352","1.0","By_herb","0.152"
"SMTT06704","FXR2","None","FMR1 autosomal homolog 2","None","ENSG00000129245","None","0.0441122","0.330247","1.0","By_herb","0.1512"
"SMTT08397","MTHFD1L","None","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like","None","ENSG00000120254","None","0.0177643","0.311202","1.0","By_herb","0.186"
"SMTT08398","MTHFD2","None","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","None","ENSG00000065911","None","0.0324462","0.316351","1.0","By_herb","0.1697"
"SMTT08399","MTHFD2L","None","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like","None","ENSG00000163738","None","0.0118605","0.311202","1.0","By_herb","0.1825"
"SMTT08540","NCL","None","nucleolin","None","ENSG00000115053","None","0.0499186","0.336352","1.0","By_herb","0.1432"
"SMTT10654","SMIM3","None","small integral membrane protein 3","None","ENSG00000256235","None","0.038288","0.324423","1.0","By_herb","0.1505"
"SMTT10667","SNAP23","None","synaptosome associated protein 23","None","ENSG00000092531","None","0.0470176","0.336352","1.0","By_herb","0.1453"
"SMTT10668","SNAP47","None","synaptosome associated protein 47","None","ENSG00000143740","None","0.0265867","0.311202","1.0","By_herb","0.1472"
"SMTT11555","TUBA1B","None","tubulin alpha 1b","None","ENSG00000123416","None","0.0324462","0.316351","1.0","By_herb","0.1778"
"SMTT11556","TUBA1C","None","tubulin alpha 1c","None","ENSG00000167553","None","0.0353693","0.316351","1.0","By_herb","0.1929"
"SMTT11557","TUBA3C","None","tubulin alpha 3c","None","ENSG00000198033","None","0.0353693","0.316351","1.0","By_herb","0.1705"
"SMTT11558","TUBA3E","None","tubulin alpha 3e","None","ENSG00000152086","None","0.0353693","0.316351","1.0","By_herb","0.1576"
"SMTT11559","TUBAL3","None","tubulin alpha like 3","None","ENSG00000178462","None","0.0353693","0.316351","1.0","By_herb","0.1567"
"SMTT11560","TUBB4A","None","tubulin beta 4A class IVa","None","ENSG00000104833","None","0.0441122","0.330247","1.0","By_herb","0.2059"
