drugbank_id,name,target_name,polypeptide_id,gene_name
DB00006,Bivalirudin,Prothrombin|,P00734|,F2|
DB00007,Leuprolide,Gonadotropin-releasing hormone receptor|,P30968|,GNRHR|
DB00014,Goserelin,Lutropin-choriogonadotropic hormone receptor|Gonadotropin-releasing hormone receptor|,P22888|P30968|,LHCGR|GNRHR|
DB00027,Gramicidin D,,,
DB00035,Desmopressin,Vasopressin V2 receptor|Vasopressin V1a receptor|Vasopressin V1b receptor|,P30518|P37288|P47901|,AVPR2|AVPR1A|AVPR1B|
DB00050,Cetrorelix,Gonadotropin-releasing hormone receptor|Lutropin-choriogonadotropic hormone receptor|,P30968|P22888|,GNRHR|LHCGR|
DB00067,Vasopressin,Vasopressin V2 receptor|Vasopressin V1a receptor|Vasopressin V1b receptor|,P30518|P37288|P47901|,AVPR2|AVPR1A|AVPR1B|
DB00080,Daptomycin,,,
DB00091,Cyclosporine,"Calcium signal-modulating cyclophilin ligand|Calcineurin subunit B type 2|Peptidyl-prolyl cis-trans isomerase A|Peptidyl-prolyl cis-trans isomerase F, mitochondrial|",P49069|Q96LZ3|P62937|P30405|,CAMLG|PPP3R2|PPIA|PPIF|
DB00093,Felypressin,Vasopressin V1a receptor|,P37288|,AVPR1A|
DB00104,Octreotide,Somatostatin receptor|,,
DB00106,Abarelix,Gonadotropin-releasing hormone receptor|,P30968|,GNRHR|
DB00114,Pyridoxal phosphate,"Alanine--glyoxylate aminotransferase 2, mitochondrial|Glutamate decarboxylase 1|Cystathionine beta-synthase|Kynureninase|Serine hydroxymethyltransferase, cytosolic|Cysteine desulfurase, mitochondrial|Aspartate aminotransferase, cytoplasmic|Ornithine aminotransferase, mitochondrial|Ornithine decarboxylase|Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial|4-aminobutyrate aminotransferase, mitochondrial|Pyridoxine-5'-phosphate oxidase|Sphingosine-1-phosphate lyase 1|Tyrosine aminotransferase|Kynurenine--oxoglutarate transaminase 1|Glycogen phosphorylase, liver form|Serine palmitoyltransferase 2|Cysteine sulfinic acid decarboxylase|Histidine decarboxylase|Arginine decarboxylase|L-serine dehydratase/L-threonine deaminase|2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial|Glycine dehydrogenase [decarboxylating], mitochondrial|Alanine aminotransferase 1|Phosphoserine aminotransferase|5-aminolevulinate synthase, nonspecific, mitochondrial|Serine--pyruvate aminotransferase|Pyridoxal phosphate phosphatase|Serine palmitoyltransferase 1|Cystathionine gamma-lyase|Branched-chain-amino-acid aminotransferase, cytosolic|Branched-chain-amino-acid aminotransferase, mitochondrial|Proline synthase co-transcribed bacterial homolog protein|Aspartate aminotransferase, mitochondrial|Glycogen phosphorylase, brain form|Glycogen phosphorylase, muscle form|Aromatic-L-amino-acid decarboxylase|Aspartate aminotransferase|Serine hydroxymethyltransferase|Selenocysteine lyase variant|Phosphorylase|5-aminolevulinate synthase|Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)|DDC protein|Kynurenine--oxoglutarate transaminase 3|Glutamate decarboxylase-like protein 1|Selenocysteine lyase|Immunoglobulin superfamily member 10|5-phosphohydroxy-L-lysine phospho-lyase|Glutamate decarboxylase 1 (Brain, 67kDa)|Serine hydroxymethyltransferase, mitochondrial|5-aminolevulinate synthase, erythroid-specific, mitochondrial|Alanine aminotransferase 2|Molybdenum cofactor sulfurase|Serine dehydratase-like|Hepatic peroxysomal alanine:glyoxylate aminotransferase|Serine racemase|O-phosphoseryl-tRNA(Sec) selenium transferase|Serine palmitoyltransferase 3|Glutamic acid decarboxylase|Alanine-glyoxylate aminotransferase homolog|",Q9BYV1|Q99259|P35520|Q16719|P34896|Q9Y697|P17174|P04181|P11926|Q8N5Z0|P80404|Q9NVS9|O95470|P17735|Q16773|O15270|Q9Y600|P19113|Q96A70|P20132|O75600|P23378|P24298|Q9Y617|P13196|P21549|Q96GD0|O15269|P32929|P54687|O15382|O94903|P00505|P11216|P11217|P20711|Q6YP21|Q6ZQY3|Q96I15|Q6WRI0|Q8IUZ5|P34897|P22557|Q8TD30|Q96EN8|Q96GA7|Q9GZT4|Q9HD40|Q9NUV7|,AGXT2|GAD1|CBS|KYNU|SHMT1|NFS1|GOT1|OAT|ODC1|AADAT|ABAT|PNPO|SGPL1|TAT|CCBL1|SPTLC2|CSAD|HDC|AZIN2|SDS|GCAT|GLDC|GPT|PSAT1|ALAS1|AGXT|PDXP|SPTLC1|CTH|BCAT1|BCAT2|PROSC|GOT2|PYGB|PYGM|DDC|CCBL2|GADL1|SCLY|IGSF10|PHYKPL|SHMT2|ALAS2|GPT2|MOCOS|SDSL|SRR|SEPSECS|SPTLC3|
DB00115,Cyanocobalamin,"Methionine synthase|Methylmalonyl-CoA mutase, mitochondrial|Methionine synthase reductase|Methylmalonic aciduria type A protein, mitochondrial|Methylmalonic aciduria and homocystinuria type C protein|Methylenetetrahydrofolate reductase|",Q99707|P22033|Q9UBK8|Q8IVH4|Q9Y4U1|P42898|,MTR|MUT|MTRR|MMAA|MMACHC|MTHFR|
