Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","178.962448120117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","167.748306274414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","157.481536865234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","67","GC10P045251","154.811462402344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","62","GC07M005973","146.481918334961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"TG","Thyroglobulin","Protein Coding","P01266","57","GC08P132866","140.650588989258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"THRB","Thyroid Hormone Receptor Beta","Protein Coding","P10828","61","GC03M024117","133.735778808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRB"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","66","GC07M140783","133.458984375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","125.768081665039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"TPO","Thyroid Peroxidase","Protein Coding","P07202","61","GC02P001374","118.124702453613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO"
"TSHR","Thyroid Stimulating Hormone Receptor","Protein Coding","P16473","61","GC14P080954","117.680534362793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR"
"NKX2-1","NK2 Homeobox 1","Protein Coding","P43699","61","GC14M036516","116.77188873291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","107.271057128906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"PAX8","Paired Box 8","Protein Coding","Q06710","58","GC02M113215","106.901992797852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M033285","104.131881713867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M013218","101.615478515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","94.1744079589844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","89.4970703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","89.1497955322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
